M: 6
Instance: 1
Algorithm: NSGA-II
Iteration: 300
Population Size: 1000
Running Time:  1.181e+04 seconds
Required Skills:  0 1 4 10 23 24 
Distance; Skill Score; isValid; Team; Skill Counts
8.886; 0.3951515915045425; True; 83 190 414; 1 1 1 1 1 1
11.85; 0.6114046377115931; True; 13 190 395; 1 1 1 1 1 2
15.16; 0.6213840284816534; True; 59 83 190 414; 1 1 1 2 1 1
15.64; 0.903686731736502; True; 83 188 190 395; 2 1 1 1 1 3
15.67; 1.0318122713303701; True; 83 190 209 414; 2 1 1 2 1 2
16.81; 1.0553783313750005; True; 83 190 395 414; 2 1 1 1 2 2
19.61; 1.0856472882968564; True; 83 190 225 414; 2 1 2 1 1 2
19.78; 1.1172712956557644; True; 13 190 332 349; 1 1 2 2 1 2
20.57; 1.1300119496719043; True; 13 83 190 395; 2 1 1 2 1 3
20.61; 1.1408221801093106; True; 13 190 395 414; 1 1 2 1 2 2
20.67; 1.183554533618862; True; 13 190 225 395; 2 1 2 1 1 3
20.76; 1.215373152783422; True; 13 190 349 395; 1 1 2 2 1 3
23.33; 1.2636360685881085; True; 83 188 190 209 395; 3 1 1 2 1 4
24.52; 1.2814878879400808; True; 83 190 209 227 414; 2 1 1 2 2 2
24.61; 1.3350565194390915; True; 188 190 345 395 414; 2 1 2 1 2 2
25.34; 1.4097641042663458; True; 83 188 190 209 414; 2 1 2 2 1 3
25.57; 1.4329692908744054; True; 83 188 190 395 414; 2 1 2 1 2 3
25.58; 1.4598446423882079; True; 83 190 209 395 414; 3 1 1 2 2 3
29.35; 1.4902394852462875; True; 83 190 209 225 414; 3 1 2 2 1 3
29.52; 1.513483956704257; True; 83 190 225 395 414; 3 1 2 1 2 3
30.39; 1.5612206789339433; True; 13 155 190 332 349; 2 1 2 2 2 2
30.54; 1.5650209283452936; True; 13 190 225 332 349; 2 1 3 2 1 3
31.54; 1.618152733378519; True; 13 190 225 349 395; 2 1 3 2 1 4
31.61; 1.65915528094063; True; 13 190 332 349 395; 2 1 2 2 2 3
36.25; 1.7928817453853974; True; 83 188 190 209 395 414; 3 1 2 2 2 4
41.21; 1.8144473785224875; True; 13 74 190 225 332 349; 2 1 3 2 2 3
41.25; 1.8324450411741111; True; 83 190 209 225 395 414; 4 1 2 2 2 4
41.32; 1.867644233903098; True; 13 126 190 225 332 349; 2 1 3 2 2 4
42.32; 1.8988348380682742; True; 13 126 190 225 349 395; 2 1 3 2 2 5
44.36; 1.9481194243805362; True; 13 190 225 332 349 395; 3 1 3 2 2 4
46.97; 1.9721102284028307; True; 13 190 225 349 395 414; 2 1 4 2 2 4
47.87; 1.9739586861067036; True; 13 190 349 362 395 414; 2 1 3 3 2 4
50.98; 2.0051805125037805; True; 13 75 126 190 225 230 349; 2 1 3 3 2 5
53.14; 2.025715383901341; True; 13 65 126 190 225 332 349; 2 1 3 2 3 5
53.85; 2.0546130545568877; True; 13 155 190 225 270 332 349; 3 1 3 3 2 4
55.02; 2.0856472882968564; True; 13 126 190 225 230 349 395; 3 1 3 3 2 5
57.08; 2.1061908972634154; True; 13 126 190 225 332 349 395; 3 1 3 2 3 5
58.83; 2.114610984232173; True; 13 155 190 225 332 349 395; 4 1 3 2 3 4
59.45; 2.1261314072619846; True; 13 155 190 225 332 349 414; 3 1 4 2 3 3
59.5; 2.1280760126687155; True; 13 155 190 332 349 362 414; 3 1 3 3 3 3
60.59; 2.1300119496719043; True; 13 126 190 225 349 395 414; 2 1 4 2 3 5
61.16; 2.15896526038341; True; 13 155 190 225 349 362 414; 3 1 4 3 2 4
61.44; 2.1795517911651876; True; 13 155 190 225 349 395 414; 3 1 4 2 3 4
62.46; 2.1812717715594614; True; 13 155 190 349 362 395 414; 3 1 3 3 3 4
63.48; 2.190051417759206; True; 13 190 225 349 362 395 414; 3 1 4 3 2 5
66.82; 2.212453961040276; True; 13 65 126 190 225 230 332 349; 3 1 3 3 3 5
68.72; 2.2314695904306814; True; 13 75 126 190 225 230 349 395; 3 1 3 3 3 6
71.65; 2.252124552505644; True; 13 155 190 225 270 332 349 395; 4 1 3 3 3 5
73.25; 2.285782273779395; True; 13 155 190 225 270 332 349 414; 3 1 4 3 3 4
75.58; 2.3170181010481117; True; 13 190 225 270 332 349 395 414; 3 1 4 3 3 5
76.96; 2.325310371711061; True; 13 155 190 225 332 349 362 414; 4 1 4 3 3 4
79.08; 2.335858911319818; True; 13 126 190 225 349 362 395 414; 3 1 4 3 3 6
79.93; 2.356599435724971; True; 13 155 190 225 349 362 395 414; 4 1 4 3 3 5
86.66; 2.3624824747511743; True; 13 155 190 225 314 349 362 414; 3 1 5 3 3 4
87.03; 2.3637999454791094; True; 13 54 155 190 225 349 395 414; 3 1 4 3 4 4
87.35; 2.3754807146185724; True; 13 126 190 225 230 287 332 349 395; 4 1 4 3 3 6
